Fecha,Precipitacion_mm
2018-06-17,0
2018-06-18,13.833765983581543
2018-06-19,18.44502067565918
2018-06-20,9.22251033782959
2018-06-21,0
2018-06-22,0
2018-06-23,11.916888236999512
2018-06-24,5.958444118499756
2018-06-25,17.87533187866211
2018-06-26,0
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,0
2018-07-02,4.277924060821533
2018-07-03,8.555848121643066
2018-07-04,0
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,6.150162696838379
2018-07-10,6.150162696838379
2018-07-11,5.284331798553467
2018-07-12,0
2018-07-13,0
2018-07-14,0
2018-07-15,0
2018-07-16,1.2251100540161133
2018-07-17,2.4502201080322266
2018-07-18,0
2018-07-19,1.2251100540161133
2018-07-20,1.2251100540161133
2018-07-21,0
2018-07-22,0
2018-07-23,0
2018-07-24,5.225186347961426
2018-07-25,6.966915607452393
2018-07-26,11.107759475708008
2018-07-27,5.553879737854004
2018-07-28,11.107759475708008
2018-07-29,0
2018-07-30,5.553879737854004
2018-07-31,0
2018-08-01,5.151561260223389
2018-08-02,2.5757806301116943
2018-08-03,2.5757806301116943
2018-08-04,0
2018-08-05,2.5757806301116943
2018-08-06,2.6002185344696045
2018-08-07,2.6002185344696045
2018-08-08,0
2018-08-09,0
2018-08-10,0
2018-08-11,8.406311988830566
2018-08-12,8.406311988830566
2018-08-13,0
2018-08-14,0
2018-08-15,33.625247955322266
2018-08-16,1.377970576286316
2018-08-17,1.0457024574279785
2018-08-18,1.9894992113113403
2018-08-19,2.2527964115142822
2018-08-20,1.2535492181777954
2018-08-21,0
2018-08-22,5.696591854095459
2018-08-23,11.393183708190918
2018-08-24,0
2018-08-25,0
2018-08-26,9.217816352844238
2018-08-27,18.435632705688477
2018-08-28,9.217816352844238
2018-08-29,9.217816352844238
2018-08-30,9.217816352844238
2018-08-31,18.435632705688477
2018-09-01,8.674993515014648
2018-09-02,8.674993515014648
2018-09-03,0
2018-09-04,4.337496757507324
2018-09-05,13.012490272521973
2018-09-06,17.949228286743164
2018-09-07,17.949228286743164
2018-09-08,17.949228286743164
2018-09-09,8.974614143371582
2018-09-10,8.974614143371582
2018-09-11,0
2018-09-12,0
2018-09-13,7.159036159515381
2018-09-14,7.159036159515381
2018-09-15,7.159036159515381
2018-09-16,14.534012794494629
2018-09-17,4.84467077255249
2018-09-18,9.68934154510498
2018-09-19,4.84467077255249
2018-09-20,4.84467077255249
2018-09-21,0
2018-09-22,3.7270405292510986
2018-09-23,7.454081058502197
2018-09-24,3.7270405292510986
2018-09-25,3.7270405292510986
2018-09-26,5.997727870941162
2018-09-27,2.998863935470581
2018-09-28,8.996591567993164
2018-09-29,2.998863935470581
2018-09-30,2.998863935470581
2018-10-01,17.47114372253418
2018-10-02,17.47114372253418
2018-10-03,23.294858932495117
2018-10-04,11.647429466247559
2018-10-05,5.823714733123779
2018-10-06,0
2018-10-07,17.84081268310547
2018-10-08,17.84081268310547
2018-10-09,11.893875122070312
2018-10-10,11.893875122070312
2018-10-11,0
2018-10-12,12.392863273620605
2018-10-13,24.78572654724121
2018-10-14,12.392863273620605
2018-10-15,12.392863273620605
2018-10-16,7.847715854644775
2018-10-17,7.847715854644775
2018-10-18,0
2018-10-19,15.69543170928955
2018-10-20,0
2018-10-21,0
2018-10-22,0
2018-10-23,6.410931587219238
2018-10-24,12.821863174438477
2018-10-25,0
2018-10-26,15.209486961364746
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,7.604743480682373
2018-10-31,0
2018-11-01,13.638129234313965
2018-11-02,13.638129234313965
2018-11-03,0
2018-11-04,0
2018-11-05,0
2018-11-06,0
2018-11-07,0
2018-11-08,6.682093620300293
2018-11-09,13.364187240600586
2018-11-10,6.682093620300293
2018-11-11,0
2018-11-12,0
2018-11-13,0
2018-11-14,24.187576293945312
2018-11-15,0
2018-11-16,8.174888610839844
2018-11-17,0
2018-11-18,0
2018-11-19,0
2018-11-20,0
2018-11-21,0
2018-11-22,0
2018-11-23,0
2018-11-24,0
2018-11-25,0
2018-11-26,0
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,0
2018-12-08,0
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,3.85231614112854
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,3.977712869644165
2018-12-22,0
2018-12-23,0
2018-12-24,0
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,7.696555137634277
2019-01-10,0
2019-01-11,0
2019-01-12,0
2019-01-13,0
2019-01-14,0
2019-01-15,0
2019-01-16,0
2019-01-17,0
2019-01-18,0
2019-01-19,0
2019-01-20,0
2019-01-21,0
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,0
2019-01-26,0
2019-01-27,0
2019-01-28,0
2019-01-29,0
2019-01-30,0
2019-01-31,0
2019-02-01,0
2019-02-02,0
2019-02-03,0
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,0
2019-02-11,0
2019-02-12,0
2019-02-13,0
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-17,10.427067756652832
2019-02-18,10.427067756652832
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,0
2019-02-25,0
2019-02-26,0
2019-02-27,0
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,0.7636545896530151
2019-03-04,1.5273091793060303
2019-03-05,0.7636545896530151
2019-03-06,0
2019-03-07,0
2019-03-08,0
2019-03-09,0
2019-03-10,0
2019-03-11,0
2019-03-12,0
2019-03-13,0
2019-03-14,0
2019-03-15,0.8704268932342529
2019-03-16,0
2019-03-17,0
2019-03-18,0.7669631838798523
2019-03-19,0
2019-03-20,0.7669631838798523
2019-03-21,0
2019-03-22,0
2019-03-23,1.682503342628479
2019-03-24,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,0
2019-03-30,0
2019-03-31,4.753986835479736
2019-04-01,2.730646848678589
2019-04-02,2.730646848678589
2019-04-03,1.3653234243392944
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,8.407904624938965
2019-04-11,0
2019-04-12,0
2019-04-13,0
